Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,high real,Lucro,Valor Previsto,Valor Real,Diferença
(Periodo atual: 3),,1040.7729012273846,,27974.73,40.77290122738464,28001.975140235027,27950.32,51.65514023502692
Compra (0),27958.99,0.0,0.03722498206220556,27968.68,,,,
(Periodo atual: 3),,1038.715848718627,,27957.49,38.71584871862706,27999.840983882084,27903.73,96.11098388208484
Compra (0),27938.91,0.0,0.03717810926477186,27946.15,,,,
(Periodo atual: 3),,1039.1188594230573,,27949.91,39.1188594230573,27984.128276270974,27949.75,34.37827627097431
Compra (0),27952.48,0.0,0.037174478236745266,27955.41,,,,
(Periodo atual: 3),,1037.7474929209038,,27959.51,37.747492920903824,27985.433339969597,27915.59,69.84333996959685
Compra (0),27939.8,0.0,0.03714226633407912,27945.0,,,,
(Periodo atual: 3),,1038.0193743104692,,27964.2,38.019374310469175,27978.577818380247,27947.12,31.457818380247772
Compra (0),27940.88,0.0,0.03715056126759319,27960.0,,,,
(Periodo atual: 3),,1038.6082107065606,,27961.48,38.60821070656061,27986.087824393384,27956.73,29.357824393384362
Compra (0),27933.15,0.0,0.03718192222168143,27956.74,,,,
(Periodo atual: 3),,1037.0692509458052,,27923.72,37.06925094580515,27983.555710239852,27891.76,91.79571023985409
Compra (0),27891.19,0.0,0.03718268209229528,27910.58,,,,
(Periodo atual: 3),,1037.9140414829421,,27920.0,37.91404148294214,27945.63110016285,27913.91,31.721100162849325
Compra (0),27865.48,0.0,0.03724730532124127,27920.0,,,,
(Periodo atual: 3),,1039.0720602053796,,27899.93,39.07206020537956,27944.67040050748,27896.57,48.10040050747921
Compra (0),27925.55,0.0,0.037208651582704,27925.92,,,,
(Periodo atual: 3),,1040.1909243584714,,27956.74,40.19092435847142,27962.990817436934,27955.62,7.370817436934885
Compra (0),27931.9,0.0,0.0372402494767084,27955.62,,,,
(Periodo atual: 3),,1040.843373529303,,27951.35,40.84337352930311,27979.21191223715,27949.42,29.791912237153156
Compra (0),27951.03,0.0,0.037238104410796426,27953.41,,,,
(Periodo atual: 3),,1040.8984859238312,,27959.75,40.89848592383123,27982.772012318306,27952.51,30.262012318307825
Compra (0),27956.67,0.0,0.03723256331758508,27958.64,,,,
(Periodo atual: 3),,1041.6025536961668,,27975.59,41.60255369616675,27988.25642568072,27975.58,12.67642568071824
Compra (0),27964.93,0.0,0.03724674274872731,27983.33,,,,
(Periodo atual: 3),,1043.467870573023,,28029.4,43.46787057302299,28009.78111192983,28015.01,-5.228888070167159
Compra (0),28016.27,0.0,0.03724506761867383,28023.84,,,,
(Periodo atual: 3),,1042.8388013809436,,28069.25,42.83880138094355,28059.912568501648,27999.38,60.53256850164689
Compra (0),28012.64,0.0,0.03722743737758896,28018.73,,,,
(Periodo atual: 3),,1045.5787407719342,,28095.14,45.578740771934235,28053.15930760526,28086.24,-33.08069239474207
Compra (0),28064.87,0.0,0.037255784216065645,28089.08,,,,
(Periodo atual: 3),,1041.5294095854902,,27986.99,41.52940958549016,28116.260517347997,27956.18,160.08051734799665
Compra (0),27924.19,0.0,0.03729846450641863,27956.18,,,,
(Periodo atual: 3),,1041.4812945662768,,27936.31,41.4812945662768,27970.577602135487,27922.9,47.67760213548536
Compra (0),27933.91,0.0,0.037283763517755905,27941.7,,,,
(Periodo atual: 3),,1041.1136766579918,,27950.01,41.113676657991846,27977.43387624196,27924.05,53.38387624196184
Compra (0),27891.82,0.0,0.037326846245888286,27924.05,,,,
(Periodo atual: 3),,1042.1375520505164,,27919.26,42.13755205051643,27950.60067299034,27919.25,31.350672990338353
Compra (0),27905.61,0.0,0.03734509125765451,27919.26,,,,
(Periodo atual: 3),,1042.4833675955622,,27937.5,42.483367595562186,27945.258598520828,27914.87,30.388598520828964
Compra (0),27911.55,0.0,0.0373495333507298,27914.88,,,,
(Periodo atual: 3),,1041.8215338645873,,27908.26,41.82153386458731,27945.448684500258,27893.83,51.61868450025577
Compra (0),27878.8,0.0,0.0373696692061562,27907.03,,,,
(Periodo atual: 3),,1040.7295921303835,,27876.71,40.72959213038348,27944.87073093732,27849.58,95.29073093731859
Compra (0),27818.77,0.0,0.03741105707155217,27849.58,,,,
(Periodo atual: 3),,1041.3985018308229,,27848.31,41.39850183082285,27886.894063225118,27836.65,50.244063225116406
Compra (0),27811.63,0.0,0.03744471294314008,27852.07,,,,
(Periodo atual: 3),,1042.5810058655672,,27867.07,42.58100586556725,27875.137810611533,27843.21,31.92781061153437
Compra (0),27810.2,0.0,0.03748915886493327,27854.85,,,,
(Periodo atual: 3),,1046.2294508063026,,27926.01,46.229450806302566,27878.012861278636,27907.52,-29.507138721364754
Compra (0),27910.75,0.0,0.037484820393801764,27999.72,,,,
(Periodo atual: 3),,1047.9649979905355,,27957.05,47.964997990535494,28030.213705116406,27957.05,73.16370511640707
Compra (0),27930.72,0.0,0.03752015694513194,27980.0,,,,
(Periodo atual: 3),,1046.665299753956,,27913.64,46.665299753956106,28005.98806377792,27896.08,109.90806377791887
Compra (0),27892.74,0.0,0.03752464977459927,27907.16,,,,
(Periodo atual: 3),,1047.6619544519692,,27927.58,47.66195445196922,27939.54031344152,27919.3,20.24031344152172
Compra (0),27912.59,0.0,0.03753367044949857,27927.58,,,,
(Periodo atual: 3),,1047.1139628634066,,27898.0,47.11396286340664,27954.69934026244,27897.99,56.70934026243776
Compra (0),27878.8,0.0,0.03755950625074991,27898.0,,,,
(Periodo atual: 3),,1045.9128098535077,,27854.6,45.912809853507724,27924.98905524314,27846.82,78.16905524313916
Compra (0),27871.88,0.0,0.03752573596949713,27874.87,,,,
(Periodo atual: 3),,1046.6021576232674,,27910.0,46.60215762326743,27910.815873200794,27890.25,20.565873200794158
Compra (0),27894.99,0.0,0.037519359484382946,27895.0,,,,
(Periodo atual: 3),,1047.2358596049587,,27930.0,47.235859604958705,27926.21033943923,27911.88,14.330339439227828
Compra (0),27904.04,0.0,0.03752990103242967,27926.35,,,,
(Periodo atual: 3),,1049.8441877267126,,27980.0,49.84418772671256,27951.44352465879,27973.54,-22.09647534121177
Compra (0),27916.89,0.0,0.037606058114880006,27973.55,,,,
(Periodo atual: 3),,1049.4451874501135,,27907.87,49.44518745011351,27993.91776214928,27906.28,87.63776214928293
Compra (0),27919.01,0.0,0.037588911191697466,27922.94,,,,
(Periodo atual: 3),,1049.3993289784596,,27920.88,49.39932897845961,27958.19610869963,27917.79,40.40610869962984
Compra (0),27917.05,0.0,0.03758990756467677,27936.67,,,,
(Periodo atual: 3),,1046.2530537152961,,27871.42,46.25305371529612,27962.470247212983,27833.35,129.1202472129844
Compra (0),27822.13,0.0,0.0376050666758906,27857.37,,,,
(Periodo atual: 3),,1048.5981056732048,,27884.49,48.59810567320483,27884.827130178266,27884.49,0.33713017826448777
Compra (0),27961.86,0.0,0.03750101408394166,27987.93,,,,
(Periodo atual: 3),,1047.8664608884271,,27953.48,47.86646088842713,28037.73207012289,27942.35,95.38207012289058
Compra (0),27938.22,0.0,0.037506557715145314,27954.1,,,,
(Periodo atual: 3),,1048.0348653325682,,27946.35,48.03486533256819,27983.57995837036,27942.71,40.86995837036011
Compra (0),27921.73,0.0,0.03753473962152661,27944.88,,,,
(Periodo atual: 3),,1048.7153701619065,,27944.0,48.71537016190655,27969.04700489878,27939.86,29.187004898780287
Compra (0),27929.49,0.0,0.037548675975175576,27942.92,,,,
(Periodo atual: 3),,1046.4947414647345,,27889.39,46.49474146473449,27969.86166623416,27870.35,99.51166623416066
Compra (0),27864.2,0.0,0.037556963467988834,27879.15,,,,
(Periodo atual: 3),,1048.3237655856256,,27913.9,48.32376558562555,27905.629804276807,27912.9,-7.2701957231947745
Compra (0),27902.44,0.0,0.03757104273266516,27912.92,,,,
(Periodo atual: 3),,1045.7745703362143,,27857.6,45.77457033621431,27939.260374161255,27834.59,104.67037416125459
Compra (0),27813.27,0.0,0.037599842461393945,27845.67,,,,
(Periodo atual: 3),,1044.87781409351,,27842.03,44.877814093510096,27867.5572456388,27789.42,78.13724563880169
Compra (0),27745.76,0.0,0.03765900858702411,27808.53,,,,
(Periodo atual: 3),,1042.6043397451115,,27765.0,42.604339745111474,27833.382663126322,27685.39,147.99266312632244
Compra (0),27542.97,0.0,0.03785373689711427,27685.4,,,,
